If Sania runs faster than Aneela and Aneela runs slower than Faiza then ,Sania and faiza have same speed,Sania has the highest speed,Faiza has the highest speed,Highest speed cannot be predicted,D
"Statements:
Cats are mammals. Dogs are mammals.
Conclusion:
1. Cats and dogs are mammals.
2. Cats are Dogs",Only 1,Both 1 and 2,Only 2,None,A
"9,11,17,35,89,?",143,197,250,251,D
"Fact1: Most stuffed toys are stuffed with beans.
Fact2: There are stuffed bears and stuffed tigers.
Fact3: Some chairs are stuffed with beans.
If  the first three statements are facts then which of the following must also be a fact?
1. Only children's chairs are stuffed with beans.
2. All stuffed tigers are stuffed with beans.
3. Stuffed Monkeys are not stuffed with beans.",1 Only,2 Only,2 and 3 Only,None of them is a fact,D
"F,G,I,L,P,?",T,V,U,Z,C
Newspaper: Press :: Cloth : ?,Tailor,Textile,Fiber,Mill,D
"2,7,5,5,8,3,11,?",1,0,2,3,A
Glove: Hand,Neck:Collar,Tie:Shirt,Socks:Feet,Coat:Pocket,C
"Statements:
All roads are waters. Some waters are boats.
Conclusion:
1. Some boats are roads.
2. All waters are boats.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",D
Town,Residents,Skyscapers,Parks,Libraries,A
Choose the odd one out.,May,july,aug,nov,D
"1,2,4,7,?,16",8,11,9,13,B
"ABD, DGK, HMS, MTB, SBL, ?",XKW,ZAB,ZKU,ZKW,D
"Pick out the wrong term?
5,27,61,122,213,340,509",27,61,122,10,A
Which word doesnot belongs with others?,Tyre,Steering Wheel,Engine,Car,D
"Statements:
No women teacher can play. Some women teachers are athletes.
Conclusion:
1. Male athletes can play.
2. Some athletes can play.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",D
"17,20,19,22,21,24,23,?",22,24,26,2,C
Choose the odd one out.,Waist:Belt,Neck:Tie,Wrist:Band,Shoe:Laces,D
"R,U,X,A,D,?",F,G,H,I,B
"2,5,10,17,26,?",29,31,35,37,D
"Statements:
Some bags are pockets. No pocket is a pouch.
Conclusion:
1. No bag is a pouch.
2. Some bags are not pouches.
3. Some pockets are bags.
4. No pocket is a bag.",Only 1,only 1 and 3,only 2 and 3,none of these,C
"Apple, Grape , Orange",Vegetable,Fruit,Stem,Oats,B
Contract,Agreement,Document,Written,Attorney,A
"Pick out the wrong term ?
2,5,10,17,26,37,50,64",17,26,37,64,D
"A,Y,W,U,S,Q,?",I,K,M,O,D
Which word doesnot belongs with others?,Biology,Chemistry,Theology,Zoology,C
"Statement:
Ramzan is always successful. No fool is always successful.
Conclusion:
1. Ramzan is a fool.
2. Ramzan is not a fool.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",B
"5,5,3,-1,-7,?",-15,15,0,2,A
"ZYY, WUT, TQO, QMJ, ?",NJE,MIE,MIF,NIE,D
"Battery x lasts longer than the Battery y
Battery y doesnot last as long as Battery z
Battery z lasts longer than Battery x
If the first two statements are true the third one is ?",TRUE,FALSE,Uncertain,None of these,C
"180,140,179,138,177,134,?",120,174,128,175,B
Choose the odd one.,China:Beijing,Russia:Musscow,Japan:Tehran,Spain:Madrid,C
"4,6,12,14,28,30,?",32,60,62,64,C
"Pick out the wrong term ?
196,169,144,121,101",101,121,169,196,A
"3F,6G,11I,18L,?",21O,25N,25P,27P,D
"Statement:
All pens are chalks. All chairs are chalks.
Conclusion:
1. Some pens are chairs.
2. Some chalks are pens",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",B
"8,16,32,64,128,?",256,250,384,192,A
"AZ, CX, FU, ?",IR,IV,JQ,KP,C
"C4X,F9U,I16R,?",K25P,L25P,L25O,L27P,C
Which number doesnot belongs with others?,196,36,78,144,C
"48,24,96,48,192,?",76,90,96,98,C
"Statements:
All fruits are vegetables. All pens are Vegetables. All vegetables are rains.
Conclusion:
1. All fruits are rains.
2. All pens are rains.
3. Some rains are vegetables.",Only 1 and 2,Only 2 and 3,Only 1 and 3 ,"1,2,3",D
Champion cannot exists without ?,Running,Swimmming,Winning,Speaking,C
"Taking the train across the town is quiker than taking the bus.
Taking a bus is slower than driving a car.
Taking the train acroos the town is quicker than driving a car.
If the first two statements are true, third statement is ?",TRUE,FALSE,Uncertain,None of these,C
"C,F,K,R,?",Y,Z,A,B,C
Food: Stomach :: Fuel : ?,Plane,Truck,Engine,Automobile,C
"Statement:
All hill stations have a sun-set point. X is a hill station.
Conclusion:
1. X has a sun-set point.
2. Places other than hill station donot have sun-set point.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",A
Choose the odd one,White:Dirty,Easy:Difficult,Brave:Coward,End:Beginning,A
"6,11,21,36,56,?",42,51,81,91,C
Faculty,Buildings,Textbooks,Teachers,Meetings,C
If SINDH  is coded as THOCI then PUNJAB is coded as:,BAJNUP,BALOCHISTAN,QTOIBA,HDNIS,C
"1000,500,250,?",50,125,100,150,B
"Clutch, Break , Horn, ?",Car,Scooter,Accident,Steering,D
"The temperature on Monday was lower than the Tuesday.
The temperature on Wednesday was lower than on Tuesday.
The temperature on Monday was higher than on wednesday.
If the first two statements are true the third is ?",TRUE,FALSE,Uncertain,None of these,C
"2A11,4D13,12G17,?",36I19,36J21,48J21,48J23,D
"Wrestling,Karate,Boxing,?",pole-vault,Swimming,Judo,Polo,C
"Statement: 
Some kings are queens. All Queens are beautiful
Conclusion:
1. All kings are beautiful.
2. All queens are kings.",Only 1,Only 2,1 and 2,"1 and 2 are 
inappropriate",D
"A,I,P,V,A,E,?",E,F,G,H,D
"Fact1: Islands are surrounded by water.
Fact2: Maui is a island.
Fact3: Maui was formed a volcano.
If the above three statements are a fact then which of the following must also be fact?
1. Maui is surrounded by water.
2. All islands are formed by volcano.
3. All volcanoes are on islands.",I Only,2 Only,2 and 3 Only,None of them is a fact,A
which number doesnot belongs with others.,295,381,552,725,C
"11,13,17,19,23,25,?",26,27,29,37,C
"Statements:
Some pictures are frames. Some frames are idols. All idols are curtains.
Conclusion:
1. Some curtans are pictures.
2. Some curtains are frames.
3. Some idols are frames.",Only 1 and 2,Only 2 and 3,Only 1 and 3,"1,2 and 3",B
Pick the odd pair of words,Petrol-Car,Coal-Engine,Water-Fire,Oil-Lamp,C
FRAME : PICTURE ::,Criminal:Crime,Nail:Hammer,River:Forest,Binding:Book,D
